node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.808058,191.942417,2.800107,0.0
1,7,99999.808058,191.942417,2.969265,0.0
1,16,99999.808058,191.932824,0.0,0.0
2,4,99999.808077,191.923231,1.462102,0.0
2,7,99999.808058,191.932824,0.396967,0.0
2,12,99999.808077,191.923231,2.748847,0.0
2,13,99999.808058,191.932824,2.475142,0.0
2,18,24999.808077,191.923231,0.99802,0.0
2,23,24999.808077,191.923231,3.741264,0.0
3,10,99999.856043,143.949618,2.100706,0.0
3,11,24999.808058,191.932824,3.068328,0.0
3,14,1549.856043,143.956813,2.441645,0.0
3,21,99999.808058,191.923233,0.017524,0.0
4,16,99999.808077,191.923231,2.100587,0.0
5,8,24999.808058,191.932824,2.172112,0.0
5,16,24999.808058,191.932824,3.264308,0.0
6,7,1549.808038,191.952012,3.662109,0.0
6,19,1549.808038,191.942419,3.771782,0.0
7,17,99999.808077,191.913639,1.061797,0.0
7,19,24999.808058,191.932824,3.036141,0.0
7,21,99999.808058,191.923233,0.0,0.0
8,9,24999.808058,191.932824,1.372218,0.0
9,15,24999.808058,191.932824,0.544548,0.0
9,16,99999.808077,191.923231,0.0,0.0
10,11,24999.808058,191.932824,3.22628,0.0
10,12,99999.808058,191.932824,3.614426,0.0
10,16,99999.808058,191.942417,2.910972,0.0
10,17,99999.808058,191.923233,0.420094,0.0
12,22,99999.808058,191.932824,1.120329,0.0
13,14,1549.808058,191.942417,2.031565,0.0
13,17,99999.808058,191.932824,0.903368,0.0
13,19,24999.808058,191.942417,1.626253,0.0
15,20,24999.808058,191.932824,2.966404,0.0
17,20,99999.808058,191.923233,0.548244,0.0
17,23,24999.808077,191.923231,3.300667,0.0
18,21,24999.808077,191.923231,0.0,0.0
20,22,24999.808058,191.932824,0.901461,0.0
