node1,node2,bwd,delay,pkloss
1,3,99999.809731,1.65236,0.0
1,7,99999.809731,3.235936,0.0
1,16,99999.809731,1.827955,0.0
2,4,99999.857383,2.831697,0.0
2,7,99999.809826,1.546264,0.0
2,12,99999.809863,2.96402,0.0
2,13,99999.809807,0.987172,0.0
2,18,24999.809863,1.720428,0.0
2,23,24999.809826,0.946283,0.0
3,10,99999.80975,1.917958,0.0
3,11,24999.80975,2.829194,0.0
3,14,1549.809769,1.197219,0.0
3,21,99999.80975,1.885533,0.0
4,16,99999.857383,2.706766,0.0
5,8,24999.809788,1.746535,0.0
5,16,24999.809845,3.227353,0.0
6,7,1549.809731,1.734853,0.0
6,19,1549.809731,1.455545,0.0
7,17,99999.809826,2.066493,0.0
7,19,24999.809826,1.095414,0.0
7,21,99999.809826,1.74284,0.0
8,9,24999.809788,1.921177,0.0
9,15,24999.809807,2.313614,0.0
9,16,99999.809882,1.889229,0.0
10,11,24999.809769,2.117515,0.0
10,12,99999.809769,2.493978,0.0
10,16,99999.809769,3.925323,0.0
10,17,99999.80975,0.930905,0.0
12,22,99999.809863,5.204916,0.0
13,14,1549.809788,2.162576,0.0
13,17,99999.809807,4.478455,0.0
13,19,24999.809807,1.058578,0.0
15,20,24999.809807,5.910754,0.0
17,20,99999.809863,1.716375,0.0
17,23,24999.809826,4.440188,0.0
18,21,24999.809863,3.519535,0.0
20,22,24999.809845,3.00312,0.0
